City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,caraballeda,10.6112,-66.8522,37.7,33,20,1.54,VE,2024-04-08
142,patnanungan,14.7833,122.1833,26.16,87,32,3.31,PH,2024-04-08
143,portland,45.5234,-122.6762,11.46,78,100,2.57,US,2024-04-08
144,salalah,17.0151,54.0924,28.05,74,40,3.09,OM,2024-04-08
145,akrehamn,59.2667,5.1833,11.11,81,75,5.14,NO,2024-04-08
146,changzhi,35.2089,111.7386,16.0,63,84,2.01,CN,2024-04-08
147,al hazm,16.1641,44.7769,30.12,38,92,4.56,YE,2024-04-08
148,champerico,14.3,-91.9167,35.3,60,19,4.71,GT,2024-04-08
149,revda,56.801,59.9303,-0.06,87,79,4.36,RU,2024-04-08
150,halifax,44.6453,-63.5724,12.6,40,56,7.6,CA,2024-04-08
151,nantucket,41.2835,-70.0995,16.08,33,0,3.09,US,2024-04-08
152,cabo san lucas,22.8909,-109.9124,25.9,57,40,2.06,MX,2024-04-08
153,avarua,-21.2078,-159.775,25.03,94,75,4.12,CK,2024-04-08
154,bilibino,68.0546,166.4372,-24.77,99,72,1.67,RU,2024-04-08
155,colonia,50.9333,6.95,23.86,47,0,2.57,DE,2024-04-08
156,praia da vitoria,38.7333,-27.0667,18.14,88,75,5.16,PT,2024-04-08
157,ausa,41.9271,2.2497,23.56,67,97,4.47,ES,2024-04-08
158,vorgashor,67.5833,63.95,-20.11,98,78,2.7,RU,2024-04-08
159,ust'-ilimsk,58.0006,102.6619,-8.09,94,44,1.34,RU,2024-04-08
160,howard springs,-12.497,131.047,26.95,94,80,2.5,AU,2024-04-08
161,cabanas,22.9758,-82.9219,28.82,40,7,5.85,CU,2024-04-08
162,viedma,-40.8135,-62.9967,24.75,43,100,6.45,AR,2024-04-08
163,tabou,4.423,-7.3528,29.72,70,46,4.72,CI,2024-04-08
164,karasburg,-28.0167,18.75,13.94,59,83,7.36,NA,2024-04-08
165,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,6.17,EC,2024-04-08
166,chibougamau,49.9168,-74.3659,4.36,68,75,3.26,CA,2024-04-08
167,bingerville,5.3584,-3.8869,25.52,89,20,2.06,CI,2024-04-08
168,port alfred,-33.5906,26.891,20.66,85,98,4.6,ZA,2024-04-08
169,ancud,-41.8697,-73.8203,12.17,68,46,4.53,CL,2024-04-08
170,belyy yar,53.6039,91.3903,-1.06,80,9,1.0,RU,2024-04-08
171,saint-pierre,-21.3393,55.4781,25.82,83,40,3.09,RE,2024-04-08
172,la passe,45.5549,-0.8967,16.13,94,50,7.6,FR,2024-04-08
173,micheweni,-4.9667,39.8333,27.07,84,100,6.84,TZ,2024-04-08
174,kununurra,-15.7667,128.7333,20.99,88,86,0.0,AU,2024-04-08
175,aoulef,26.9667,1.0833,38.78,4,19,1.99,DZ,2024-04-08
176,malanje,-9.5402,16.341,20.32,93,80,1.65,AO,2024-04-08
177,atafu village,-8.5421,-172.5159,29.2,76,24,4.85,TK,2024-04-08
178,tazovsky,67.4667,78.7,-13.69,96,45,4.81,RU,2024-04-08
179,hami,42.8,93.45,14.98,23,94,0.59,CN,2024-04-08
180,sipalay,9.75,122.5,25.45,84,82,2.0,PH,2024-04-08
181,pimentel,-6.8367,-79.9342,30.16,51,0,5.66,PE,2024-04-08
182,uthal,25.8072,66.6219,26.78,50,22,4.81,PK,2024-04-08
183,utrik,11.2278,169.8474,26.71,82,86,9.97,MH,2024-04-08
184,aykhal,66.0,111.5,-14.13,86,35,5.04,RU,2024-04-08
185,anadyr,64.75,177.4833,-21.67,83,0,3.0,RU,2024-04-08
186,chonchi,-42.6128,-73.8092,11.73,75,76,3.1,CL,2024-04-08
187,nar'yan-mar,67.6713,53.087,-17.72,99,14,2.24,RU,2024-04-08
188,wucheng,29.6008,118.175,13.26,97,100,1.36,CN,2024-04-08
